mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53394505,13,13113,2019,08,1,1,7518
53394505,13,13113,2019,08,1,2,10770
53394505,13,13113,2019,08,2,0,12912
53394505,13,13113,2019,08,2,1,7370
53394505,13,13113,2019,08,2,2,10464
53394506,13,13113,2019,08,0,0,44881
53394506,13,13113,2019,08,0,1,11738
53394506,13,13113,2019,08,0,2,25454
53394506,13,13113,2019,08,1,0,50469
53394506,13,13113,2019,08,1,1,11953
53394506,13,13113,2019,08,1,2,30233
53394506,13,13113,2019,08,2,0,48666
53394506,13,13113,2019,08,2,1,11884
53394506,13,13113,2019,08,2,2,28691
53393585,13,13113,2019,09,0,0,35994
53393585,13,13113,2019,09,0,1,25803
53393585,13,13113,2019,09,0,2,30786
53393585,13,13113,2019,09,1,0,82194
53393585,13,13113,2019,09,1,1,26306
53393585,13,13113,2019,09,1,2,54425
53393585,13,13113,2019,09,2,0,65254
53393585,13,13113,2019,09,2,1,26122
53393585,13,13113,2019,09,2,2,45758
53393586,13,13113,2019,09,0,0,35485
53393586,13,13113,2019,09,0,1,17300
53393586,13,13113,2019,09,0,2,26266
53393586,13,13113,2019,09,1,0,78870
53393586,13,13113,2019,09,1,1,19309
53393586,13,13113,2019,09,1,2,49880
53393586,13,13113,2019,09,2,0,62962
53393586,13,13113,2019,09,2,1,18572
53393586,13,13113,2019,09,2,2,41222
53393595,13,13113,2019,09,0,0,68994
53393595,13,13113,2019,09,0,1,27535
53393595,13,13113,2019,09,0,2,49246
53393595,13,13113,2019,09,1,0,85052
53393595,13,13113,2019,09,1,1,22252
53393595,13,13113,2019,09,1,2,57589
53393595,13,13113,2019,09,2,0,79164
53393595,13,13113,2019,09,2,1,24189
53393595,13,13113,2019,09,2,2,54530
53393596,13,13113,2019,09,0,0,84663
53393596,13,13113,2019,09,0,1,19170
53393596,13,13113,2019,09,0,2,49858
53393596,13,13113,2019,09,1,0,129756
53393596,13,13113,2019,09,1,1,20271
53393596,13,13113,2019,09,1,2,78289
53393596,13,13113,2019,09,2,0,113222
53393596,13,13113,2019,09,2,1,19867
53393596,13,13113,2019,09,2,2,67864
53394505,13,13113,2019,09,0,0,14568
53394505,13,13113,2019,09,0,1,6975
53394505,13,13113,2019,09,0,2,10280
